ID_EQUIPO,PUNTO_MEDICION,CAPACIDAD_MAXIMA_GBS,FECHA_INICIO_MEDICION,FECHA_HORA,FECHA_FIN_MEDICION,PASO,LATENCIA_MS,PORCENTAJE_PACK_LOSS,INBOUND_BITS,OUTBOUND_BITS,MEDIDA
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-11 09:00:00.000,2020-06-21 19:00:00.000,7200,0.5986899999999999,0.0,5738882.5957,15034722.429000001,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-11 11:00:00.000,2020-06-21 19:00:00.000,7200,0.64085,0.0,9719118.0569,18552276.362,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-11 13:00:00.000,2020-06-21 19:00:00.000,7200,0.74239,0.0,8206419.8414,12624897.115,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-11 15:00:00.000,2020-06-21 19:00:00.000,7200,0.67423,0.0,5078811.9957,10293339.583999999,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-11 17:00:00.000,2020-06-21 19:00:00.000,7200,0.69909,0.0,8236271.8957,12634119.267,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-11 19:00:00.000,2020-06-21 19:00:00.000,7200,0.67679,0.0,9111323.161,12362877.307,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-11 21:00:00.000,2020-06-21 19:00:00.000,7200,0.61363,0.0,3712840.6921,10204178.532,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-11 23:00:00.000,2020-06-21 19:00:00.000,7200,0.6849,0.0,2221017.4845,7941965.9621,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-12 01:00:00.000,2020-06-21 19:00:00.000,7200,0.72375,0.0,4849307.8559,10174832.419,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-12 03:00:00.000,2020-06-21 19:00:00.000,7200,0.76149,0.0,1192041.9695,7726603.6195,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-12 05:00:00.000,2020-06-21 19:00:00.000,7200,0.59241,0.0,3349388.1645,11587112.506,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-12 07:00:00.000,2020-06-21 19:00:00.000,7200,0.6157600000000001,0.0,3642330.4451,10120379.643,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-12 09:00:00.000,2020-06-21 19:00:00.000,7200,0.64278,0.0,6760052.255,9973807.4671,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-12 11:00:00.000,2020-06-21 19:00:00.000,7200,0.68625,0.0,6002317.0848,9663479.1442,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-12 13:00:00.000,2020-06-21 19:00:00.000,7200,0.69255,0.0,6716883.7494,10171250.023,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-12 15:00:00.000,2020-06-21 19:00:00.000,7200,0.64472,0.0,4183401.5519,9640679.0972,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-12 17:00:00.000,2020-06-21 19:00:00.000,7200,0.62798,0.0,9433912.8903,10444457.402999999,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-12 19:00:00.000,2020-06-21 19:00:00.000,7200,0.69024,0.0,7196245.9017,13353438.207999999,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-12 21:00:00.000,2020-06-21 19:00:00.000,7200,0.61784,0.0,6389109.0797,13985036.459,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-12 23:00:00.000,2020-06-21 19:00:00.000,7200,0.6412,0.0,3372235.5584,9938441.9086,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-13 01:00:00.000,2020-06-21 19:00:00.000,7200,0.75289,0.0,5253979.9392,9465242.1944,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-13 03:00:00.000,2020-06-21 19:00:00.000,7200,0.7068800000000001,0.0,5074274.2033,11532914.667000001,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-13 05:00:00.000,2020-06-21 19:00:00.000,7200,0.71659,0.0,1427407.8936,4689123.558999999,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-13 07:00:00.000,2020-06-21 19:00:00.000,7200,0.74039,0.0,1159543.4295,7465121.8209,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-13 09:00:00.000,2020-06-21 19:00:00.000,7200,0.65625,0.0,1201207.523,5677784.4267,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-13 11:00:00.000,2020-06-21 19:00:00.000,7200,0.75508,0.0,1450702.1877,7015727.0303,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-13 13:00:00.000,2020-06-21 19:00:00.000,7200,0.66545,0.0,1129567.072,7980932.0727,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-13 15:00:00.000,2020-06-21 19:00:00.000,7200,0.60493,0.0,778286.58138,4149219.4513,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-13 17:00:00.000,2020-06-21 19:00:00.000,7200,0.67001,0.0,773529.9579,3554836.4566,MB
